   14.70,  -71.13,   0.0,   0.0249,    0.235,    0.586
   14.80,  -71.07,   0.0,   0.0251,    0.245,    0.577
   14.90,  -71.01,   0.0,   0.0252,    0.254,    0.568
   15.00,  -70.94,   0.0,   0.0254,    0.264,    0.559
   15.10,  -70.88,   0.0,   0.0256,    0.273,    0.551
   15.20,  -70.81,   0.0,   0.0258,    0.282,    0.542
   15.30,  -70.74,   0.0,    0.026,    0.291,    0.534
   15.40,  -70.67,   0.0,   0.0263,      0.3,    0.526
   15.50,  -70.60,   0.0,   0.0265,    0.308,    0.519
   15.60,  -70.52,   0.0,   0.0267,    0.317,    0.511
   15.70,  -70.44,   0.0,    0.027,    0.325,    0.504
   15.80,  -70.36,   0.0,   0.0272,    0.333,    0.497
   15.90,  -70.28,   0.0,   0.0275,     0.34,     0.49
   16.00,  -70.19,   0.0,   0.0278,    0.348,    0.484
   16.10,  -70.11,   0.0,   0.0281,    0.355,    0.478
   16.20,  -70.02,   0.0,   0.0284,    0.362,    0.471
   16.30,  -69.93,   0.0,   0.0287,    0.369,    0.465
   16.40,  -69.83,   0.0,    0.029,    0.376,     0.46
   16.50,  -69.74,   0.0,   0.0293,    0.383,    0.454
   16.60,  -69.64,   0.0,   0.0297,    0.389,    0.449
   16.70,  -69.55,   0.0,     0.03,    0.396,    0.443
   16.80,  -69.45,   0.0,   0.0304,    0.402,    0.438
   16.90,  -69.35,   0.0,   0.0308,    0.408,    0.433
   17.00,  -69.24,   0.0,   0.0311,    0.413,    0.429
   17.10,  -69.14,   0.0,   0.0315,    0.419,    0.424
   17.20,  -69.04,   0.0,   0.0319,    0.425,     0.42
   17.30,  -68.93,   0.0,   0.0323,     0.43,    0.415
   17.40,  -68.82,   0.0,   0.0327,    0.435,    0.411
   17.50,  -68.71,   0.0,   0.0332,     0.44,    0.407
   17.60,  -68.61,   0.0,   0.0336,    0.445,    0.403
   17.70,  -68.50,   0.0,   0.0341,     0.45,      0.4
   17.80,  -68.39,   0.0,   0.0345,    0.454,    0.396
   17.90,  -68.27,   0.0,    0.035,    0.459,    0.393
   18.00,  -68.16,   0.0,   0.0354,    0.463,     0.39
   18.10,  -68.05,   0.0,   0.0359,    0.467,    0.386
   18.20,  -67.94,   0.0,   0.0364,    0.471,    0.383
   18.30,  -67.82,   0.0,   0.0369,    0.475,     0.38
   18.40,  -67.71,   0.0,   0.0374,    0.479,    0.378
   18.50,  -67.59,   0.0,   0.0379,    0.482,    0.375
   18.60,  -67.48,   0.0,   0.0385,    0.486,    0.372
   18.70,  -67.36,   0.0,    0.039,    0.489,     0.37
   18.80,  -67.25,   0.0,   0.0395,    0.493,    0.368
   18.90,  -67.13,   0.0,   0.0401,    0.496,    0.365
   19.00,  -67.02,   0.0,   0.0407,    0.499,    0.363
   19.10,  -66.91,   0.0,   0.0412,    0.502,    0.361
   19.20,  -66.79,   0.0,   0.0418,    0.504,    0.359
   19.30,  -66.68,   0.0,   0.0424,    0.507,    0.357
   19.40,  -66.56,   0.0,   0.0429,     0.51,    0.356
   19.50,  -66.45,   0.0,   0.0435,    0.512,    0.354
   19.60,  -66.33,   0.0,   0.0441,    0.514,    0.352
   19.70,  -66.22,   0.0,   0.0447,    0.517,    0.351
   19.80,  -66.11,   0.0,   0.0453,    0.519,     0.35
   19.90,  -65.99,   0.0,    0.046,    0.521,    0.348
   20.00,  -65.88,   0.0,   0.0466,    0.523,    0.347
   20.10,  -65.77,   0.0,   0.0472,    0.524,    0.346
   20.20,  -65.66,   0.0,   0.0478,    0.526,    0.345
   20.30,  -65.55,   0.0,   0.0485,    0.528,    0.344
   20.40,  -65.44,   0.0,   0.0491,    0.529,    0.343
   20.50,  -65.33,   0.0,   0.0497,    0.531,    0.342
   20.60,  -65.22,   0.0,   0.0504,    0.532,    0.341
   20.70,  -65.11,   0.0,    0.051,    0.533,     0.34
   20.80,  -65.00,   0.0,   0.0517,    0.534,     0.34
   20.90,  -64.90,   0.0,   0.0524,    0.536,    0.339
   21.00,  -64.79,   0.0,    0.053,    0.537,    0.339
   21.10,  -64.68,   0.0,   0.0537,    0.537,    0.338
   21.20,  -64.58,   0.0,   0.0544,    0.538,    0.338
   21.30,  -64.47,   0.0,    0.055,    0.539,    0.337
   21.40,  -64.37,   0.0,   0.0557,     0.54,    0.337
   21.50,  -64.27,   0.0,   0.0564,     0.54,    0.337
   21.60,  -64.17,   0.0,   0.0571,    0.541,    0.337
   21.70,  -64.07,   0.0,   0.0577,    0.541,    0.336
   21.80,  -63.97,   0.0,   0.0584,    0.542,    0.336
   21.90,  -63.87,   0.0,   0.0591,    0.542,    0.336
   22.00,  -63.77,   0.0,   0.0598,    0.542,    0.336
   22.10,  -63.67,   0.0,   0.0605,    0.542,    0.336
   22.20,  -63.58,   0.0,   0.0612,    0.543,    0.336
   22.30,  -63.48,   0.0,   0.0619,    0.543,    0.336
   22.40,  -63.39,   0.0,   0.0625,    0.543,    0.336
   22.50,  -63.30,   0.0,   0.0632,    0.543,    0.337
   22.60,  -63.20,   0.0,   0.0639,    0.542,    0.337
   22.70,  -63.11,   0.0,   0.0646,    0.542,    0.337
   22.80,  -63.02,   0.0,   0.0653,    0.542,    0.337
   22.90,  -62.93,   0.0,    0.066,    0.542,    0.338
   23.00,  -62.85,   0.0,   0.0666,    0.541,    0.338
   23.10,  -62.76,   0.0,   0.0673,    0.541,    0.338
   23.20,  -62.68,   0.0,    0.068,    0.541,    0.339
   23.30,  -62.59,   0.0,   0.0687,     0.54,    0.339
   23.40,  -62.51,   0.0,   0.0693,    0.539,     0.34
   23.50,  -62.43,   0.0,     0.07,    0.539,     0.34
   23.60,  -62.35,   0.0,   0.0706,    0.538,    0.341
   23.70,  -62.27,   0.0,   0.0713,    0.538,    0.341
   23.80,  -62.20,   0.0,   0.0719,    0.537,    0.342
   23.90,  -62.12,   0.0,   0.0726,    0.536,    0.342
   24.00,  -62.05,   0.0,   0.0732,    0.535,    0.343
   24.10,  -61.98,   0.0,   0.0738,    0.535,    0.343
   24.20,  -61.91,   0.0,   0.0744,    0.534,    0.344
   24.30,  -61.84,   0.0,    0.075,    0.533,    0.345
